attribute_line_id;product_tmpl_id;attribute_id;value
10553;18468;7;10
10553;18468;7;59
10553;18468;7;32
10553;18468;7;68
10553;18468;7;72
10554;18469;2;122
10554;18469;2;6124
10555;18470;3;82
10556;18470;2;6125
10556;18470;2;6126
10557;18471;2;78
10557;18471;2;103
10557;18471;2;110
10557;18471;2;116
10557;18471;2;122
10558;18472;2;6126
10558;18472;2;6127
10559;18473;2;78
10559;18473;2;88
10559;18473;2;91
10559;18473;2;103
10559;18473;2;110
10559;18473;2;116
10559;18473;2;122
10560;18473;3;61
10561;18474;2;51
10561;18474;2;64
10561;18474;2;88
10561;18474;2;91
10561;18474;2;110
10562;18474;3;152
10563;18475;2;78
10563;18475;2;88
10563;18475;2;91
10563;18475;2;103
10563;18475;2;110
10563;18475;2;116
10563;18475;2;122
10564;18475;3;61
10565;18476;2;78
10565;18476;2;116
10565;18476;2;91
10565;18476;2;103
10565;18476;2;6981
10565;18476;2;122
10565;18476;2;110
10566;18476;3;92
10566;18476;3;156
10567;18477;3;117
10568;18477;2;25
10568;18477;2;47
10568;18477;2;51
10568;18477;2;64
10568;18477;2;78
10568;18477;2;88
10568;18477;2;91
10568;18477;2;103
10568;18477;2;110
10568;18477;2;116
10568;18477;2;122
10569;18478;3;61
10570;18478;2;78
10570;18478;2;91
10570;18478;2;110
10570;18478;2;116
10570;18478;2;122
10571;18479;2;122
10571;18479;2;110
10571;18479;2;6981
10571;18479;2;6663
10571;18479;2;78
10571;18479;2;91
10571;18479;2;103
10572;18479;3;82
10573;18480;3;82
10574;18480;2;78
10574;18480;2;88
10574;18480;2;91
10574;18480;2;103
10574;18480;2;110
10574;18480;2;116
10574;18480;2;122
10575;18481;2;91
10575;18481;2;103
10575;18481;2;110
10575;18481;2;116
10575;18481;2;122
10576;18481;3;61
10577;18482;2;78
10577;18482;2;88
10577;18482;2;91
10577;18482;2;103
10577;18482;2;110
10577;18482;2;116
10577;18482;2;122
10578;18482;3;61
10579;18483;3;61
10580;18483;2;88
10580;18483;2;91
10580;18483;2;103
10580;18483;2;110
10580;18483;2;116
10580;18483;2;122
10581;18484;2;116
10581;18484;2;88
10581;18484;2;91
10581;18484;2;103
10581;18484;2;110
10581;18484;2;122
10581;18484;2;6124
10582;18485;2;88
10582;18485;2;91
10582;18485;2;103
10582;18485;2;110
10582;18485;2;116
10583;18486;2;88
10583;18486;2;91
10583;18486;2;103
10583;18486;2;110
10583;18486;2;116
10584;18487;1;73
10584;18487;1;5815
10585;18488;1;54
10586;18489;1;54
10586;18489;1;63
10587;18490;1;40
10587;18490;1;54
10587;18490;1;63
10588;18491;1;54
10588;18491;1;63
10588;18491;1;40
10588;18491;1;73
10589;18492;1;40
10590;18493;1;26
10590;18493;1;40
10590;18493;1;63
10591;18494;1;40
10592;18495;2;164
10592;18495;2;172
10592;18495;2;155
10592;18495;2;166
10593;18496;2;166
10593;18496;2;155
10593;18496;2;158
10593;18496;2;164
10593;18496;2;172
10594;18497;2;164
10594;18497;2;6128
10595;18498;9;6129
10595;18498;9;6130
10596;18498;59;1650
10596;18498;59;6131
10597;18499;9;854
10597;18499;9;6132
10597;18499;9;6133
10598;18500;65;1810
10598;18500;65;2292
10599;18500;9;6134
10599;18500;9;6135
10599;18500;9;6136
10600;18501;59;6131
10600;18501;59;6137
10601;18501;9;6133
10601;18501;9;6138
10601;18501;9;7527
10601;18501;9;6139
10602;18502;59;6131
10602;18502;59;6140
10603;18502;9;1523
10603;18502;9;6141
10603;18502;9;6142
10604;18503;9;4261
10604;18503;9;3813
10604;18503;9;4263
10604;18503;9;4259
10604;18503;9;4260
10605;18503;59;1054
10605;18503;59;6143
10606;18504;9;1107
10607;18504;59;6144
10607;18504;59;6145
10608;18505;59;6137
10609;18505;9;6141
10609;18505;9;1523
10610;18506;59;1489
10610;18506;59;833
10611;18506;9;4259
10611;18506;9;4260
10612;18507;9;8161
10612;18507;9;3815
10612;18507;9;3813
10612;18507;9;8160
10612;18507;9;4261
10612;18507;9;5835
10612;18507;9;4773
10612;18507;9;4263
10612;18507;9;4262
10612;18507;9;4356
10612;18507;9;3814
10613;18507;59;1053
10614;18508;59;1053
10615;18508;9;3967
10615;18508;9;3816
10615;18508;9;854
10616;18509;9;3813
10616;18509;9;8160
10616;18509;9;4260
10616;18509;9;4261
10616;18509;9;4259
10616;18509;9;4263
10616;18509;9;3816
10616;18509;9;4773
10616;18509;9;8132
10616;18509;9;8161
10617;18509;59;1489
10618;18510;59;1489
10619;18510;9;4356
10619;18510;9;4262
10619;18510;9;3814
10619;18510;9;3815
10619;18510;9;4260
10619;18510;9;4261
10619;18510;9;4259
10620;18511;9;4260
10620;18511;9;4261
10621;18511;59;833
10622;18512;59;833
10623;18512;9;4259
10623;18512;9;4260
10623;18512;9;4261
10624;18513;59;6146
10624;18513;59;6147
10625;18513;9;6149
10625;18513;9;6148
10625;18513;9;6142
10625;18513;9;6150
10625;18513;9;4831
10626;18514;59;6151
10626;18514;59;6152
10627;18514;9;4259
10627;18514;9;4261
10627;18514;9;3814
10628;18515;59;833
10628;18515;59;822
10629;18515;9;4260
10629;18515;9;4263
10629;18515;9;3814
10630;18516;59;6137
10631;18516;9;854
10631;18516;9;3967
10631;18516;9;5976
10631;18516;9;6153
10631;18516;9;6154
10632;18517;9;854
10632;18517;9;6153
10632;18517;9;3967
10632;18517;9;5976
10633;18517;59;6155
10634;18518;59;2440
10634;18518;59;2438
10635;18518;9;5057
10635;18518;9;6156
10635;18518;9;6157
10635;18518;9;6158
10636;18519;59;6159
10636;18519;59;6160
10637;18519;9;6158
10637;18519;9;6161
10637;18519;9;7073
10638;18520;9;4261
10638;18520;9;4259
10638;18520;9;3813
10638;18520;9;4263
10638;18520;9;4260
10639;18520;59;6140
10639;18520;59;4233
10639;18520;59;6162
10640;18521;59;6140
10640;18521;59;4233
10640;18521;59;6162
10641;18521;9;4259
10641;18521;9;4260
10641;18521;9;4261
10641;18521;9;3813
10642;18522;59;2440
10643;18522;9;6161
10643;18522;9;6163
10643;18522;9;3815
10643;18522;9;3813
10643;18522;9;4835
10643;18522;9;7616
10643;18522;9;4796
10644;18523;59;6159
10645;18523;9;3813
10645;18523;9;3815
10645;18523;9;6164
10646;18524;59;6165
10647;18524;9;3813
10647;18524;9;4263
10647;18524;9;4362
10648;18525;9;4260
10648;18525;9;4261
10648;18525;9;4263
10648;18525;9;3814
10648;18525;9;3816
10649;18525;59;1489
10650;18526;59;833
10651;18526;9;3813
10651;18526;9;4263
10651;18526;9;8910
10651;18526;9;8909
10651;18526;9;4337
10652;18527;59;822
10653;18527;9;4256
10654;18528;59;1489
10654;18528;59;833
10654;18528;59;822
10655;18528;9;4260
10655;18528;9;4261
10656;18529;9;7804
10656;18529;9;6167
10656;18529;9;4757
10656;18529;9;6166
10656;18529;9;5841
10657;18529;59;1489
10657;18529;59;6159
10658;18530;9;4261
10658;18530;9;4362
10658;18530;9;3816
10658;18530;9;4259
10659;18530;59;6152
10659;18530;59;6168
10660;18531;59;6151
10661;18531;9;4259
10661;18531;9;3813
10661;18531;9;4263
10661;18531;9;3816
10661;18531;9;4356
10661;18531;9;4357
10661;18531;9;4338
10661;18531;9;4400
10661;18531;9;4267
10661;18531;9;4379
10662;18532;59;2438
10663;18532;9;4259
10663;18532;9;3813
10663;18532;9;4263
10663;18532;9;3816
10663;18532;9;4356
10663;18532;9;4378
10663;18532;9;4400
10663;18532;9;4267
10664;18533;59;2438
10665;18533;9;3813
10665;18533;9;4263
10665;18533;9;4356
10666;18534;9;4259
10666;18534;9;3813
10666;18534;9;4400
10666;18534;9;6169
10667;18534;59;6170
10668;18535;59;6170
10669;18535;9;3813
10670;18536;59;6144
10671;18536;9;4261
10671;18536;9;3813
10671;18536;9;4263
10671;18536;9;3815
10672;18537;59;6171
10673;18537;9;4263
10673;18537;9;4259
10673;18537;9;4378
10673;18537;9;4264
10673;18537;9;3813
10673;18537;9;4337
10673;18537;9;4275
10673;18537;9;4277
10673;18537;9;7853
10673;18537;9;4357
10674;18538;9;5057
10674;18538;9;6173
10674;18538;9;3813
10674;18538;9;4264
10674;18538;9;4364
10674;18538;9;6172
10674;18538;9;3814
10674;18538;9;4337
10674;18538;9;4275
10674;18538;9;4278
10674;18538;9;7853
10674;18538;9;4259
10675;18538;59;6151
10676;18539;59;2438
10677;18539;9;4261
10677;18539;9;3814
10677;18539;9;4147
10677;18539;9;4181
10677;18539;9;4264
10677;18539;9;3813
10677;18539;9;4278
10677;18539;9;4338
10677;18539;9;7853
10677;18539;9;4256
10678;18540;59;6151
10679;18540;9;7853
10679;18540;9;4357
10679;18540;9;3813
10679;18540;9;4263
10679;18540;9;4337
10679;18540;9;4275
10680;18541;59;2438
10681;18541;9;3814
10681;18541;9;4275
10681;18541;9;3813
10681;18541;9;4278
10681;18541;9;4338
10681;18541;9;4259
10681;18541;9;7230
10682;18542;9;4259
10682;18542;9;4263
10682;18542;9;4264
10682;18542;9;4275
10682;18542;9;4378
10682;18542;9;4278
10683;18542;59;2440
10684;18543;59;6174
10685;18543;9;4259
10685;18543;9;4263
10685;18543;9;4341
10685;18543;9;4364
10685;18543;9;4400
10686;18544;59;6168
10687;18544;9;3813
10687;18544;9;4263
10688;18545;9;4259
10689;18545;59;6175
10690;18546;59;6176
10690;18546;59;6177
10691;18546;9;4259
10691;18546;9;3813
10692;18547;59;6178
10693;18547;9;3814
10694;18548;9;7853
10694;18548;9;4275
10694;18548;9;3813
10694;18548;9;4264
10695;18549;9;4260
10695;18549;9;4262
10696;18549;59;6147
10697;18550;59;2438
10698;18550;9;35
10698;18550;9;6179
10698;18550;9;3967
10698;18550;9;5057
10698;18550;9;854
10699;18551;9;3816
