default_code;product_tmpl_id;id;volume;weight
1161107/15;2347;8777;;
M0290687;37649;82763;;
5342509;37116;81785;;
9111437;14068;30178;;
53405015;42040;91807;;
9111798/163;15161;34511;;
1800549;39494;86512;;
M0258201/L;33638;74260;;
M0321860/03;3927;8555;;
2401379/06;38274;84038;;
8731321/40;42762;93363;;
M0811819/02;29546;65506;;
8731323/20;42764;93366;;
2243302/833;33371;75042;;
PR/66241;8418;68845;;
7391508/15;12697;27598;;
PR/66242;8418;68846;;
1161106/15;2382;8772;;
1370405;13659;29708;;
4163645;39495;86515;;
7391508/20;12697;27595;;
4161527/20;38038;83602;;
1181742/203;8529;17304;;
1261731/110;9078;19622;;
PR/70296;5764;72884;;
PR/81285;9230;83847;;
2345112;24550;53783;;
M0645198;35614;78786;;
M0647831;35523;78552;;
1484332/1;5021;8802;;
4935318;13733;29782;;
PR/LI3;36632;80782;;
1154904;33210;73333;;
M0171793/GMOT;41317;90257;;
18025120/BL;11761;26098;;
PR/70669;15095;73257;;
M0321856/04;3905;8493;;
7391508/25;12697;27599;;
7391137/35;16876;36552;;
8007675;34630;76248;;
1667703/245;7173;14178;;
PR/69978;27904;72568;;
5548325/4142;39662;86880;;
M0698010/35;3422;6433;;
18025120/G;11761;26099;;
1492531;13677;29726;;
M0171793/OHE;41317;90259;;
M0043605;6997;62362;;
2401947/09;38273;84034;;
M02905013;30065;66629;;
4897541;39628;86795;;
4333859;16546;35963;;
6682925;35582;78693;;
M0258201/XL;33638;74261;;
M0041925/90;7099;14054;;
M0835622;42039;91806;;
M08374977;42037;91804;;
4935216/270;38968;85381;;
1800534;27872;61631;;
M08374978;42038;91805;;
8007666;34621;76239;;
1611414/12;23845;52590;;
7391508/30;12697;27596;;
M0644954;39511;86537;;
2035183;39560;86618;;
1801713;9913;22035;;
